LAMBDA,FLUX,FERROR
8016.791999999998,-2.6041646582703494e-18,1.8061623405776447e-18
8017.76,-2.291749987282188e-18,1.5155505377278917e-18
8018.781,-3.3542682322154352e-18,1.658447540119302e-18
8019.7266,-2.2069302277663938e-18,1.3803216782270822e-18
8019.816999999999,7.169349514146581e-19,1.6558857165739846e-18
8021.6636,-2.8777023555317975e-18,1.5599852469465383e-18
8040.937,-1.8556692791572016e-18,1.6924961856472287e-18
8041.906,-2.572724058193984e-18,1.4410188230155076e-18
8042.934,-8.64371236451742e-19,1.6285959206524911e-18
8043.8813,-9.711190249540818e-19,1.3501587185621778e-18
8045.4004,5.504157658155194e-19,1.946377415636069e-18
8045.826999999998,-4.9399062692673705e-18,1.4824034439671314e-18
8064.991999999998,-1.351375564871924e-18,1.707374397016639e-18
8066.052,-2.7256055099057098e-18,1.3996586239951333e-18
8067.086999999998,-4.919469436846191e-19,1.6223422061400935e-18
8068.036,8.099093458651636e-19,1.3200858503521194e-18
8069.0283,-1.372610850494685e-18,1.556666793851703e-18
8069.9907,-4.072457673587295e-18,1.4417682679974128e-18
8089.257,-8.875454620650629e-18,1.7722924161869693e-18
8090.1978,-3.89580923990813e-18,1.3584363395300856e-18
8091.24,3.7416587805496107e-19,1.5846836807890568e-18
8092.191,-1.2814343343396919e-18,1.2946337205098394e-18
8093.245,-5.953530540977928e-19,1.6435354637183013e-18
8094.1543,-1.7613808660013628e-18,1.3971614543087749e-18
8113.371,-1.0054336072714488e-18,1.6122557752662835e-18
8114.3438,-2.7822229879464812e-18,1.3406299983370427e-18
8115.3936,-3.284166276683189e-19,1.5254101601809943e-18
8116.345,-3.4162842852717307e-18,1.2631766392617293e-18
8116.4497,-6.056432120902268e-19,1.4834208397098357e-18
8118.318,-3.58044059646053e-18,1.3474621824242429e-18
8137.5127,-1.9024909599597133e-18,1.565651216533886e-18
8138.4897,-2.8826718824650537e-18,1.297501786325593e-18
8139.547,-1.647271679140205e-18,1.4637621196490664e-18
8140.5,5.078561561377449e-20,1.230166761527588e-18
8141.9565,-3.1167730967247115e-18,1.8410386986735244e-18
8142.4814,-2.2469111350556363e-18,1.3276543424994917e-18
8160.8174,-7.311308441917586e-19,1.5346284305163157e-18
8161.9316,-4.137208342611144e-18,1.3653073489978821e-18
8163.7,-2.1774557606103007e-18,1.426143379933849e-18
8164.655,2.6298707601671323e-19,1.1810611300478375e-18
8165.7095,-2.4499658613206758e-18,1.3899362812311554e-18
8166.645,-7.015727273025507e-19,1.303957917587506e-18
8186.055,-4.485668940983702e-18,1.5989881710836118e-18
8187.8535,-2.8548126636682157e-18,1.3716316372658436e-18
8187.9659999999985,-6.880986088573303e-19,1.3081429029321193e-18
8188.809,-1.0831697620695667e-18,1.17185644867617e-18
8189.8716,-2.66557952642475e-19,1.4050707400070182e-18
8190.69,-1.1838437611645175e-18,1.2655945152886677e-18
8209.944,-4.5768665117868485e-18,1.3440265027663408e-18
8210.918,-1.151566320163931e-18,1.1823424296055726e-18
8212.007,-1.813132439890897e-18,1.3497018169185438e-18
8212.964,-1.6677064853551606e-18,1.1206224451685459e-18
8214.034,-6.221143605198244e-19,1.3650053680394813e-18
8214.28,-2.318274161632421e-18,1.3127945780868104e-18
8234.089,-1.0173909682908061e-18,1.301018919283562e-18
8235.064,-3.2791383689505093e-18,1.1489601044692324e-18
8236.158000000001,-1.0661907126482948e-18,1.3339523586339397e-18
8237.119,-1.3704073667171124e-18,1.080234269637627e-18
8238.195,-3.1306419400738844e-18,1.8572232060454044e-18
8240.306,-1.5560081730364941e-18,1.2282193603968878e-18
8258.234,-1.2345893416177578e-18,1.1945438540840973e-18
8259.21,-3.935628832925077e-18,1.0760149059171463e-18
8260.308,-2.4016933749269995e-19,1.257362622932915e-18
8261.273000000001,-1.5532647964129677e-18,1.065908865436292e-18
8262.357,2.3453219400286814e-19,1.2256144016416292e-18
8263.3,-1.823726007515736e-18,1.1252249632660827e-18
8282.379,-2.5514272334351655e-18,1.1343360343847795e-18
8283.356,-1.847892388515804e-18,1.0115150797660552e-18
8283.687,-1.9894542753962576e-18,1.1887401119979494e-18
8285.427,-2.1573809396937168e-18,1.044851896472025e-18
8286.52,-1.3722523106279607e-18,1.1812106653654482e-18
8287.463,-2.9468436839660766e-18,1.1095151742284749e-18
8306.523000000001,-1.915937305080981e-18,1.0770965968524568e-18
8307.503,-5.684715282530305e-19,9.569007768422185e-19
8308.779,-2.5326117928537863e-18,1.2624065999593758e-18
8309.573,-2.238926010833619e-18,9.577568088299242e-19
8310.681999999999,-8.371449238396357e-19,1.160251176276801e-18
8311.627,-2.538852840566369e-18,1.070749626644873e-18
8330.668,-7.935521327251471e-19,1.0706813158659287e-18
8331.648000000001,-1.363183917213163e-18,9.054329443244623e-19
8332.795,-1.761428758258017e-18,1.1250008716779688e-18
8333.728000000001,-4.521424670739405e-19,9.123103321291029e-19
8334.841999999999,-1.0831789337065356e-18,1.1470706009754733e-18
8335.789,-3.8339350455060356e-19,1.0588991876456241e-18
8354.453000000001,1.6745745007069102e-19,1.0162055601671632e-18
8354.8125,-1.21099277239377e-19,1.0176723571819038e-18
8356.921,-1.108135935074061e-18,1.038215074209734e-18
8357.882,-4.764147583692278e-19,8.84826179840443e-19
8358.416,-9.029899606399244e-19,1.0778581286590233e-18
8359.944,1.1374191129049904e-18,1.0055040739524812e-18
8378.958,-4.2413574860889536e-19,9.64394590106929e-19
8381.074,-1.693994377544807e-19,1.0029368581598303e-18
8381.768,1.026658422009651e-18,9.10497273262164e-19
8382.037,-3.670860831576847e-19,8.570952146073772e-19
8383.279,-1.4609612388004435e-18,1.1481146748829026e-18
8384.107,-1.4735230955451931e-18,9.671338440714264e-19
8403.103000000001,-2.1528031330719684e-18,9.502233559460655e-19
8404.087,5.561190483076695e-19,8.388819927936034e-19
8405.228000000001,1.8712143682526984e-18,1.0370665637893784e-18
8406.190999999999,3.404096652319099e-19,8.253052640535921e-19
8407.324,-1.4010672224370921e-18,1.0190602092295077e-18
8408.271,-1.88845670150836e-18,9.462340545401368e-19
8427.247,-1.2772320954801995e-18,9.21713587115179e-19
8428.233,-7.289740184239035e-19,8.062924545612397e-19
8429.38,-2.4026589593922535e-18,9.259393214292133e-19
8430.347,3.42392785804165e-19,8.054573234525017e-19
8431.485999999999,-8.4075621534479e-19,9.781675932794018e-19
8432.435,-1.2273126019101016e-18,9.069305315624582e-19
8451.393,6.234112645814733e-20,8.88497207000221e-19
8452.379,-2.0459007999013522e-18,7.708946419094191e-19
8453.533000000001,-2.229936954716297e-18,8.996185757347846e-19
8454.501,-6.634903549074489e-19,7.6449922355535e-19
8455.648000000001,-2.210891310195013e-18,9.316779406942907e-19
8456.599,-6.556906862438305e-19,8.813414661169976e-19
8474.752,2.608159223950365e-20,8.33980246773419e-19
8476.525,-1.1922307161038623e-18,7.329120738275793e-19
8477.687,-7.804711729314255e-19,8.685048240622654e-19
8478.655999999999,-7.0549039193699405e-19,7.346491933090988e-19
8479.811,-9.990513447933267e-19,9.302427306734186e-19
8480.761999999999,-2.393373208882896e-19,8.384757516470728e-19
8500.123,-3.958081589108964e-20,8.914177167336368e-19
8500.671,-2.9077416218480545e-18,7.350987042358016e-19
8501.84,-9.46769720643552e-20,8.393327959549101e-19
8502.811,-1.0293717026793911e-18,7.151754589336319e-19
8503.972,-2.495603086286625e-19,8.923673096445843e-19
8504.926,-4.2422333936546553e-19,8.053136004357143e-19
8523.827,1.4484511243093014e-19,8.011508996664117e-19
8524.817,-3.8748336914091856e-18,7.004513636884314e-19
8525.993,-5.254865094246942e-19,8.1920843854188165e-19
8526.965,-1.5433082643874666e-18,6.906124464307342e-19
8528.007,-2.202796734286746e-18,7.865322756973793e-19
8528.134,-7.644846785768133e-19,8.505924352926179e-19
8547.972,-3.3987392423883775e-19,7.906947597429553e-19
8548.964,-1.140936570951674e-18,6.826389229333372e-19
8550.146,-1.3881944013812492e-18,7.891726706072175e-19
8551.12,-5.280016130620843e-19,6.814283234914344e-19
8552.296,-5.616366429582657e-19,8.393423597353516e-19
8554.632,-1.508739668010056e-18,7.644564924568813e-19
8572.117,-2.608741219969017e-18,7.458221928523925e-19
8573.109,3.0691580625544483e-19,6.739306666303422e-19
8574.3,3.892881127465694e-19,7.933066055142111e-19
8575.274,2.33856940844967e-19,6.650108052084234e-19
8576.458,-2.7791296336593313e-19,8.283001707573938e-19
8577.416,-7.286697556339958e-19,7.5680451783283835e-19
8596.261999999999,-1.2142162027008602e-18,7.280858296069017e-19
8597.256,5.9997896091028135e-19,6.749226953049522e-19
8598.453000000001,-3.2950334624831374e-19,7.669334345132027e-19
8599.429,-1.460987508597012e-18,6.463453559101454e-19
8600.62,-7.027044085957058e-19,8.079164863687516e-19
8601.58,-1.633165321268466e-18,7.426574605210613e-19
8620.405999999999,8.797856988523094e-21,7.400496446491271e-19
8621.402,8.760381747146924e-19,6.750902788805817e-19
8622.606,-2.4825543941640756e-18,7.498404041114371e-19
8623.584,-6.609516871517555e-19,6.4385146397614935e-19
8624.780999999999,3.5866255665823415e-18,8.573679972111433e-19
8625.743,-1.7243867901330784e-18,7.357450781539162e-19
