LAMBDA,FLUX,FERROR
8003.7363,-5.597736255395689e-18,3.3436983439222653e-18
8006.6577,4.9731533545679395e-18,2.6909767428881084e-18
8007.142,-8.481724963503488e-19,2.6303477686075227e-18
8008.5566,3.967848283872264e-18,2.6880285478590184e-18
8031.29,5.112995634331669e-18,2.571198751455962e-18
8031.593000000002,-2.536130176211426e-18,2.564580485098751e-18
8031.7866,4.594085919371075e-19,2.4173030900220847e-18
8035.92,-6.1800322591967765e-18,2.9355405416709204e-18
8055.211999999998,-1.6704497450407151e-18,2.964002069344688e-18
8055.8286,2.237682601052976e-18,2.2864982489911904e-18
8056.0435,5.625718987068667e-18,2.5085006248379408e-18
8056.53,2.0462458691891667e-18,2.4032405833494073e-18
8080.104,1.88457853951409e-18,2.2194003453781905e-18
8080.4946,3.509093161440167e-18,2.4138537720099004e-18
8080.5283,2.5853874057305595e-18,2.3753711810406677e-18
8081.581,3.9709567002544466e-18,2.848761178566491e-18
8102.514,3.2645529120745363e-18,2.3594401641702563e-18
8104.943,-1.750543655753252e-18,2.0978118847165772e-18
8104.9775,5.481383455762123e-18,2.3307777333369843e-18
8105.201999999998,3.584648664391827e-18,2.7215003918635864e-18
8129.17,1.6289083164157838e-18,2.0181585078483244e-18
8129.427,5.513190398745337e-18,2.268590472594428e-18
8129.6553,5.048161634248401e-18,2.6332689662299087e-18
8130.9565,-3.279141876738888e-19,2.5765245608753407e-18
8153.074,2.3860154778395818e-18,2.2666093815921086e-18
8153.616999999998,2.658121904836772e-18,1.9149235996710764e-18
8153.876,4.272726978387991e-18,2.1799578437008592e-18
8154.1084,3.060714478585175e-18,2.48879877594143e-18
8178.0645,9.103351645734233e-18,1.903784163624215e-18
8178.325,1.6232064179305023e-19,2.137654585369678e-18
8178.561,6.1141014757482284e-18,2.3905156175106066e-18
8178.757,5.117041774192253e-18,2.3274373194468987e-18
8202.511999999999,4.838307216977619e-18,1.768661710599667e-18
8202.748,2.9663010914866933e-18,2.129119519709653e-18
8202.774,2.6801628973417095e-18,2.112518261981018e-18
8203.015,4.643419073572339e-18,2.288228325633627e-18
8226.91,6.7881527787930265e-18,2.0461194055754935e-18
8226.959,2.855244669049488e-18,1.6809546221030864e-18
8227.199,2.8777187152105664e-18,2.0789117415270806e-18
8227.466999999999,2.5006743400947797e-18,2.180377740457303e-18
8251.405999999999,3.991404032965042e-18,1.5933741785349258e-18
8251.649,3.5932348052219534e-18,1.988868617545416e-18
8251.92,1.8859092130055815e-18,2.0281386857572413e-18
8252.205,5.375448244432984e-18,1.980397965678909e-18
8275.854,-3.7155003421607737e-19,1.490446217064686e-18
8276.101,3.9952995536312264e-18,1.908043708259876e-18
8276.122,-1.5349169994064867e-18,1.875258224521922e-18
8276.373,2.440172844258442e-18,1.910566276517471e-18
8300.301,-5.47488954653106e-20,1.4438930502536277e-18
8300.552,3.4226578629148087e-18,1.8426899067319245e-18
8300.571,2.08583040636219e-18,1.869454380057352e-18
8300.826,2.280923242594252e-18,1.841864376090229e-18
8323.732,-1.9364501672069943e-18,1.2871783528607698e-18
8325.002,4.708775588549e-18,1.8376210717594316e-18
8325.0205,1.477486594932369e-18,1.8239957195281728e-18
8325.279,2.9391304115775466e-18,1.7578282287482132e-18
8349.367,4.027521066194333e-18,1.7853523615999523e-18
8349.47,-1.505368472090185e-18,1.7529973777325862e-18
8349.732,4.930642869086425e-18,1.7153178597868842e-18
8350.37,-7.201567851389996e-19,1.3069196349492204e-18
8373.643,2.6765848294573108e-18,1.3031927242167203e-18
8373.919,-1.8486871321788553e-18,1.6999933990497366e-18
8373.947,6.877256589158795e-18,1.7814977911810203e-18
8374.186,1.8355634104161276e-18,1.6553846187687774e-18
8398.09,1.8792304378139236e-18,1.2704903650319492e-18
8398.3545,2.0224605490006635e-18,1.7278833779210318e-18
8398.368,1.7260070094737125e-18,1.685228068624337e-18
8398.639000000001,2.4304729119920913e-18,1.6342939551198859e-18
8422.536,1.8960229974836994e-18,1.243104814804376e-18
8422.625,3.988682463679792e-18,1.6835868560824536e-18
8422.806,-2.260912973945071e-19,1.6950888205814656e-18
8423.091999999999,6.834559980010094e-19,1.5372380999716751e-18
8446.983,3.877092790517501e-18,1.2040146674213439e-18
8447.256,2.456826220835713e-18,1.6851388440090132e-18
8447.545,3.7532545917543276e-18,1.500331725180296e-18
8447.711,6.790636210705164e-19,1.6191984394797082e-18
8471.431,2.310673523030629e-18,1.142524405069303e-18
8471.706,4.61554097197947e-18,1.737361426775311e-18
8471.716,5.492697056418765e-19,1.5989720145052355e-18
8471.997,6.97460568947677e-18,1.4653456418989634e-18
8495.873,4.829456174544652e-18,1.1329841413704834e-18
8496.154,3.351454165176486e-18,1.610066894568164e-18
8496.165,3.03206262795764e-18,1.6659794520791764e-18
8496.444,2.7653486645354196e-18,1.4567255008434735e-18
8519.305,2.7009266072167255e-18,1.0341683669843914e-18
8520.6045,5.378244407218914e-18,1.5657883981129068e-18
8520.61,1.715219605022278e-18,1.5749074678776018e-18
8520.896,2.1372413332773248e-19,1.402972649153147e-18
8544.839,1.6665730999039408e-18,1.5349600494917796e-18
8545.001,6.2855664125752876e-18,1.741190906268632e-18
8545.35,3.8082959699742495e-18,1.418297136329057e-18
8545.921,1.5640296664252437e-18,1.060102897026713e-18
8568.747,2.0801766453391564e-18,1.355345992153739e-18
8569.212,1.6878916374824128e-18,1.053581923313699e-18
8569.533000000001,7.26951661947732e-18,1.77361333378973e-18
8569.98,-1.0874214838089234e-18,1.4728017136653335e-18
8593.659,2.167810679712817e-18,1.0563693342052294e-18
8593.957,4.132597574473035e-18,1.4502544761304853e-18
8593.958,5.5116442616952e-20,1.4716094791677234e-18
8595.162,9.931677286061577e-19,1.3078685200064293e-18
8618.106,2.1103556942053877e-18,1.065572639599214e-18
8618.407,2.1806088244360962e-18,2.0192918180577273e-18
8618.709,1.1973941873554285e-18,1.342522198918798e-18
8642.544,1.9243359835992975e-18,1.0631484821527897e-18
8642.856,7.704055726934072e-18,1.431717294768803e-18
8642.858,2.024158417126606e-18,1.3768026277295885e-18
8643.162,2.521595108008701e-18,1.3432841101459973e-18
8666.45,2.448031037387412e-18,1.3759903802665776e-18
8667.013,-3.419112086889529e-19,1.032440607404603e-18
8667.094000000001,1.0787660417331878e-17,1.5039381557271212e-18
8667.614,4.6374229113062946e-18,1.3273587170959059e-18
8691.448,-1.6337559747411295e-18,1.0345456728433936e-18
8692.067,2.218671629557226e-18,1.2886873465477342e-18
8692.179,9.007297462521502e-18,1.3882474297924246e-18
8692.207,7.258555126207792e-19,1.3463118512799176e-18
8715.8955,1.7239426551813794e-18,9.913647738429053e-19
8716.204,6.557896096716786e-18,1.2865738740887237e-18
8716.21,1.7689060202947576e-18,1.2445095375398702e-18
8716.5205,-2.76200421478103e-18,1.2625034309026441e-18
8740.343,1.4403710281655047e-17,1.1549133763109674e-18
8740.653,5.4359682935888e-18,1.222344883637983e-18
8740.661,1.6851218029768354e-18,1.196252276738772e-18
8740.974,-2.102961671678832e-18,1.2702683441957934e-18
8763.879,1.459897456384271e-17,1.10748707485929e-18
8765.103000000001,3.129245992893298e-18,1.1575144261865282e-18
8765.112,9.165070125796382e-19,1.1246028286538293e-18
8765.427,1.9541637592173917e-18,1.2193220355820882e-18
8789.519,4.697198441113654e-18,1.1177031184266226e-18
8789.553,2.376731666499215e-18,1.1389739535463533e-18
8789.88,4.606799688295912e-18,1.2001054727269797e-18
