LAMBDA,FLUX,FERROR
8017.0293,2.1066165289021946e-18,1.2097773912377093e-18
8017.9940000000015,6.412461986489289e-19,1.1679270851310063e-18
8019.0137,-1.4627286424169952e-19,1.2274552700734254e-18
8019.9569999999985,-1.311156937620314e-18,1.1817268826764403e-18
8021.4355,-1.3110908230532632e-18,1.37497779883881e-18
8021.8906,-5.22452191403153e-18,1.3555276957717498e-18
8041.175999999998,-2.933337803674078e-19,1.1479348984374163e-18
8042.1416,-4.096715197401257e-19,1.0713252044159607e-18
8043.1680000000015,5.258267511508347e-19,1.1807778914711217e-18
8044.113,-1.1217552379060428e-18,1.112261486601391e-18
8044.2573,1.410699611558114e-18,1.246576586293463e-18
8046.055,-1.27645540654582e-18,1.276723900004273e-18
8065.321999999999,-5.4442906488313914e-18,1.1099218152438824e-18
8066.289000000002,-7.211926744580605e-19,1.0276016619962722e-18
8067.3228,-2.3767922813765714e-18,1.1298669065897595e-18
8068.269,-1.0813537531067653e-18,1.1094403749643371e-18
8069.772,-3.1324305961171386e-18,1.167948142494584e-18
8070.22,1.469842354001464e-18,1.2134925582633873e-18
8089.4683,-2.316712265733596e-19,1.0222352989152588e-18
8090.436,-1.0299063025625725e-18,9.927042910876018e-19
8091.4775,-2.2824564840258024e-18,1.0543586927312377e-18
8092.425,-2.96508465160949e-18,1.0451832170243364e-18
8092.558000000001,1.7145088418699737e-19,1.1541126574884601e-18
8094.385,4.399309447660932e-19,1.1604844999754055e-18
8113.6143,-8.330373267183126e-19,9.745674209893808e-19
8114.5835,-3.1050409980403938e-21,9.537490678131304e-19
8115.632,-1.314022186597808e-18,1.0078056270688596e-18
8116.5806,-1.80874852263894e-18,1.004584269355218e-18
8118.1616,-1.6556033264541235e-19,1.1500701925685805e-18
8118.55,-1.6858422701285907e-18,1.0912758642641273e-18
8137.6396,-1.0381715420874721e-18,9.518823051672467e-19
8137.643,-8.839965866134022e-19,8.675235927098763e-19
8139.7866,-5.221394106527745e-19,9.81135679682462e-19
8140.736999999999,-4.103769999123676e-19,9.290052418082027e-19
8141.7827,-3.8179536589849497e-19,1.0336920293445227e-18
8142.7144,-1.2601883653025696e-18,1.0509859888342013e-18
8161.985,-7.941642141337936e-19,9.842059371733036e-19
8163.9414,-7.340054824935771e-19,9.284071164691357e-19
8164.210999999998,1.4174591653807128e-18,8.640500932014655e-19
8164.8926,-2.1928504636268946e-19,9.229358772752198e-19
8165.9463,-1.0769347244759601e-18,9.79944763775663e-19
8166.8794,-1.1309057092269655e-18,1.0001738596591675e-18
8186.053000000001,-1.5528816551502418e-18,8.454838726512154e-19
8187.0254,-1.5828835233664743e-18,8.228788370662417e-19
8188.096,-6.413914209784535e-19,9.071578399328758e-19
8189.049,-9.28072038485715e-19,8.57514934052381e-19
8189.9106,-5.725021983741216e-19,9.19690047963063e-19
8190.11,-4.818943980429692e-18,9.592295599045511e-19
8210.199,-2.178350182744666e-19,8.209437824817945e-19
8211.173,-1.1161284039151632e-18,7.9013803243268855e-19
8212.251,-1.922486245295357e-18,8.4043180405612e-19
8213.204,-2.864820884538633e-18,8.057694283949238e-19
8214.273000000001,-2.297937109298394e-18,9.136389824314274e-19
8216.632,4.982880999091757e-19,8.963278767180605e-19
8234.346,-6.415435095080293e-19,7.836011560160381e-19
8235.32,3.5309500415843106e-19,7.917190511551968e-19
8236.405,-1.7665774952426215e-18,7.966984391198067e-19
8237.36,-2.1830263539687763e-18,7.806460484680732e-19
8238.437,-6.397263499873228e-21,8.54961346390353e-19
8239.374,-4.662768522507678e-19,8.53998312345227e-19
8258.492,1.146081728065766e-18,7.519329175378032e-19
8259.468,-7.328240931942344e-19,7.267134258897844e-19
8260.451,-4.420768949202774e-19,7.97293839124437e-19
8261.517,-3.62977647551722e-18,7.233597102203265e-19
8262.601,-1.5066569431881967e-18,8.083977691453362e-19
8263.539,-1.9418119153743307e-18,8.343227845790311e-19
8282.639000000001,5.907721984164511e-19,7.174893433251699e-19
8283.615,-6.591104596198091e-20,6.699394684761468e-19
8284.782,2.348657102358023e-19,7.831568075318308e-19
8285.673,-1.440978835700066e-18,6.87125841587895e-19
8286.764000000001,-1.2861875346490178e-18,7.520953843492945e-19
8287.704,-1.6310899130524164e-18,7.687185914343015e-19
8306.784,-1.2155339844907336e-18,6.718621740882442e-19
8307.763,1.0151277424738402e-18,6.7358448927446675e-19
8308.87,4.411886270324609e-19,7.091069376559524e-19
8309.828000000001,3.1545570650235067e-19,6.63821062287842e-19
8310.928,4.4417410058800685e-19,7.584229448446175e-19
8311.869,-5.588114429515475e-19,7.276216676510503e-19
8330.931,2.085641745568572e-19,6.481322936770514e-19
8331.036,3.537981497883116e-19,6.158821998334524e-19
8333.024,-4.721760433055186e-19,6.6694852607341745e-19
8333.984,1.5566276229726024e-20,6.362305570382011e-19
8334.056999999999,6.491673161116739e-19,7.075267525022086e-19
8336.034,-4.199067717898228e-19,6.870570686654172e-19
8355.077,9.550028046748863e-20,6.257619843594599e-19
8357.128,-6.211910042603879e-19,5.976122424499099e-19
8357.18,7.917194943022521e-19,6.537484397488215e-19
8358.141,6.304843671021347e-20,6.181239096736193e-19
8360.086,-3.875652453254367e-19,6.320131067061954e-19
8360.199,-4.520655518969344e-19,6.756509565646661e-19
8379.224,-1.4064813612015066e-18,5.954198726267473e-19
8380.205,1.2310999004712532e-18,6.061048281290034e-19
8381.334,6.2989928375394575e-19,6.321392703449863e-19
8382.296,-3.3540663362327e-19,5.799270806842611e-19
8383.418,-9.601188344073304e-19,6.574156840561237e-19
8384.364,-2.5064019398558533e-19,6.565225878721954e-19
8403.37,-3.028250994314715e-18,5.980913550476947e-19
8404.353000000001,1.6662106189182917e-18,5.858035832691162e-19
8405.489,-8.369509042552142e-20,6.231431328763115e-19
8406.453000000001,-3.4918626688816904e-19,5.784554982557884e-19
8407.581,-7.114873473067739e-19,6.361852695146822e-19
8408.529,-2.0860812543556232e-19,6.280611319972836e-19
8427.517,-1.2326776579540248e-18,5.7866224691203065e-19
8428.5,1.3557989279167307e-18,5.8565399083084505e-19
8429.644,4.434020789742391e-19,6.193063051106671e-19
8430.028,-1.7301063512911298e-18,5.594322133126469e-19
8431.744,-5.568709748263131e-19,6.145309375122092e-19
8432.694,-1.1672522992190918e-18,6.023864940500887e-19
8451.641,1.2756533790690182e-18,5.920484237386073e-19
8452.646999999999,9.554284224307378e-19,5.560985408200785e-19
8453.799,-8.8902358289704e-19,5.759694348455557e-19
8455.523000000001,-1.004174035661155e-18,5.374654541462763e-19
8455.908000000001,-7.021766094914251e-19,6.028573544990425e-19
8456.859,-1.4821646244332934e-18,5.743424749298737e-19
8475.823,1.7056158843331791e-18,6.01469262291258e-19
8476.795,-3.7250176515331344e-19,5.443727032401829e-19
8477.953000000001,-4.572404713887689e-19,5.515347272089001e-19
8478.921,1.0844474397322565e-18,5.350476720884942e-19
8480.071,1.8453538520509474e-19,5.777973677138238e-19
8481.024,-9.985972171333295e-19,5.603915083789822e-19
8499.238000000001,5.667343117152961e-19,5.510901908673209e-19
8500.942,-1.3388283886428852e-18,5.256286104513751e-19
8502.108,6.113803062868166e-19,5.437100908880939e-19
8503.077,-1.0156477059977982e-18,5.07707549620386e-19
8503.826,-1.161608851664172e-18,4.97513447048545e-19
8504.235,1.2509194371425242e-18,5.854065973509366e-19
8524.643,1.4114085282206048e-20,5.781365025529139e-19
8525.09,-3.797515318693986e-19,5.050347032629549e-19
8526.264000000001,8.877398751750688e-19,5.462442694894359e-19
8527.233,-1.1084029823687734e-18,4.877115219012287e-19
8528.398000000001,-4.159340763791049e-19,5.407409873264161e-19
8530.835,-6.56815063103189e-19,5.153035345797951e-19
8548.231,-7.103046220942554e-19,5.197165004561735e-19
8549.237,3.878723652752493e-19,4.877085268063037e-19
8550.418,5.617657599792212e-19,5.251204650616857e-19
8551.39,-1.0827425249059925e-18,4.802259875285851e-19
8552.5625,6.440241879399936e-19,5.541392412056848e-19
8553.52,-4.2303742531907387e-19,5.245848115931864e-19
8572.378,-5.347992384838387e-19,5.115725605737284e-19
8573.385,-5.808612588165053e-19,4.912350921716467e-19
8574.573,4.1355494681253226e-19,5.188040137500521e-19
8575.546,-6.020741839233971e-19,4.795185787253466e-19
8576.726,1.288541207613892e-18,5.476519881576683e-19
8577.685,-5.755954684947953e-20,5.218606646057962e-19
8596.524,-2.064997844173531e-19,5.161626087381323e-19
