LAMBDA,FLUX,FERROR,MASKGOOD
8016.791999999998,-2.604164658270349e-18,1.8061623405776447e-18,True
8017.76,-2.291749987282188e-18,1.5155505377278915e-18,True
8018.781,-3.354268232215435e-18,1.6584475401193018e-18,True
8019.7266,-2.2069302277663938e-18,1.3803216782270822e-18,True
8019.816999999999,7.169349514146581e-19,1.6558857165739846e-18,False
8021.6636,-2.8777023555317975e-18,1.5599852469465383e-18,True
8040.937,-1.8556692791572016e-18,1.6924961856472287e-18,True
8041.906,-2.572724058193984e-18,1.4410188230155074e-18,True
8042.934,-8.64371236451742e-19,1.6285959206524911e-18,False
8043.8813,-9.711190249540818e-19,1.3501587185621778e-18,False
8045.4004,5.504157658155194e-19,1.946377415636069e-18,False
8045.8269999999975,-4.9399062692673705e-18,1.4824034439671313e-18,True
8064.9919999999975,-1.351375564871924e-18,1.707374397016639e-18,False
8066.052,-2.7256055099057094e-18,1.399658623995133e-18,True
8067.086999999998,-4.91946943684619e-19,1.6223422061400936e-18,False
8068.036,8.099093458651636e-19,1.3200858503521194e-18,False
8069.0283,-1.3726108504946848e-18,1.556666793851703e-18,False
8069.9907,-4.072457673587295e-18,1.4417682679974128e-18,True
8089.257,-8.875454620650629e-18,1.772292416186969e-18,False
8090.1978,-3.8958092399081296e-18,1.3584363395300856e-18,True
8091.24,3.74165878054961e-19,1.5846836807890568e-18,False
8092.191,-1.281434334339692e-18,1.2946337205098394e-18,False
8093.245,-5.953530540977927e-19,1.6435354637183011e-18,False
8094.1543,-1.7613808660013628e-18,1.3971614543087747e-18,True
8113.371,-1.0054336072714488e-18,1.6122557752662837e-18,False
8114.3438,-2.782222987946481e-18,1.3406299983370427e-18,True
8115.3936,-3.2841662766831888e-19,1.5254101601809943e-18,False
8116.345,-3.4162842852717303e-18,1.263176639261729e-18,True
8116.4497,-6.056432120902268e-19,1.4834208397098355e-18,False
8118.318,-3.5804405964605295e-18,1.3474621824242427e-18,True
8137.5127,-1.902490959959713e-18,1.565651216533886e-18,True
8138.4897,-2.8826718824650537e-18,1.2975017863255929e-18,True
8139.547,-1.647271679140205e-18,1.4637621196490662e-18,True
8140.5,5.078561561377449e-20,1.2301667615275879e-18,False
8141.9565,-3.116773096724712e-18,1.8410386986735244e-18,True
8142.4814,-2.2469111350556363e-18,1.3276543424994915e-18,True
8160.8174,-7.311308441917586e-19,1.5346284305163155e-18,False
8161.9316,-4.137208342611143e-18,1.365307348997882e-18,True
8163.7,-2.1774557606103007e-18,1.426143379933849e-18,True
8164.655,2.6298707601671323e-19,1.1810611300478377e-18,False
8165.7095,-2.4499658613206758e-18,1.3899362812311554e-18,True
8166.645,-7.015727273025506e-19,1.3039579175875058e-18,False
8186.055,-4.4856689409837014e-18,1.5989881710836118e-18,True
8187.8535,-2.854812663668216e-18,1.3716316372658436e-18,True
8187.965999999998,-6.880986088573303e-19,1.3081429029321191e-18,False
8188.809,-1.0831697620695667e-18,1.17185644867617e-18,False
8189.8716,-2.66557952642475e-19,1.405070740007018e-18,False
8190.69,-1.1838437611645175e-18,1.2655945152886677e-18,False
8209.944,-4.5768665117868485e-18,1.3440265027663408e-18,True
8210.918,-1.151566320163931e-18,1.1823424296055726e-18,False
8212.007,-1.8131324398908967e-18,1.3497018169185436e-18,True
8212.964,-1.6677064853551606e-18,1.1206224451685459e-18,True
8214.034,-6.221143605198243e-19,1.3650053680394811e-18,False
8214.28,-2.318274161632421e-18,1.3127945780868104e-18,True
8234.089,-1.017390968290806e-18,1.301018919283562e-18,False
8235.064,-3.2791383689505093e-18,1.1489601044692323e-18,True
8236.158000000001,-1.0661907126482948e-18,1.3339523586339395e-18,False
8237.119,-1.3704073667171124e-18,1.0802342696376269e-18,True
8238.195,-3.1306419400738844e-18,1.8572232060454044e-18,True
8240.306,-1.556008173036494e-18,1.2282193603968878e-18,True
8258.234,-1.2345893416177578e-18,1.1945438540840971e-18,True
8259.21,-3.935628832925076e-18,1.0760149059171463e-18,True
8260.308,-2.4016933749269995e-19,1.2573626229329149e-18,False
8261.273000000001,-1.5532647964129674e-18,1.065908865436292e-18,True
8262.357,2.345321940028681e-19,1.2256144016416292e-18,False
8263.3,-1.8237260075157357e-18,1.1252249632660827e-18,True
8282.379,-2.551427233435165e-18,1.1343360343847795e-18,True
8283.356,-1.847892388515804e-18,1.011515079766055e-18,True
8283.687,-1.9894542753962576e-18,1.1887401119979492e-18,True
8285.427,-2.1573809396937168e-18,1.044851896472025e-18,True
8286.52,-1.3722523106279607e-18,1.181210665365448e-18,True
8287.463,-2.9468436839660766e-18,1.1095151742284749e-18,True
8306.523000000001,-1.9159373050809808e-18,1.0770965968524568e-18,True
8307.503,-5.684715282530304e-19,9.569007768422185e-19,False
8308.779,-2.5326117928537863e-18,1.2624065999593756e-18,True
8309.573,-2.238926010833619e-18,9.577568088299242e-19,True
8310.681999999999,-8.371449238396356e-19,1.160251176276801e-18,False
8311.627,-2.5388528405663687e-18,1.0707496266448729e-18,True
8330.668,-7.93552132725147e-19,1.0706813158659287e-18,False
8331.648000000001,-1.3631839172131628e-18,9.054329443244623e-19,True
8332.795,-1.7614287582580166e-18,1.1250008716779688e-18,True
8333.728000000001,-4.521424670739404e-19,9.123103321291029e-19,False
8334.841999999999,-1.0831789337065356e-18,1.1470706009754731e-18,False
8335.789,-3.8339350455060356e-19,1.058899187645624e-18,False
8354.453000000001,1.67457450070691e-19,1.0162055601671632e-18,False
8354.8125,-1.2109927723937698e-19,1.0176723571819038e-18,False
8356.921,-1.1081359350740609e-18,1.038215074209734e-18,True
8357.882,-4.764147583692278e-19,8.848261798404429e-19,False
8358.416,-9.029899606399244e-19,1.0778581286590232e-18,False
8359.944,1.1374191129049904e-18,1.0055040739524812e-18,True
8378.958,-4.241357486088953e-19,9.64394590106929e-19,False
8381.074,-1.6939943775448068e-19,1.0029368581598303e-18,False
8381.768,1.026658422009651e-18,9.10497273262164e-19,True
8382.037,-3.6708608315768465e-19,8.570952146073771e-19,False
8383.279,-1.4609612388004437e-18,1.1481146748829026e-18,True
8384.107,-1.4735230955451931e-18,9.671338440714264e-19,True
8403.103000000001,-2.1528031330719684e-18,9.502233559460657e-19,True
8404.087,5.561190483076695e-19,8.388819927936034e-19,False
8405.228000000001,1.8712143682526984e-18,1.0370665637893784e-18,True
8406.190999999999,3.404096652319099e-19,8.25305264053592e-19,False
8407.324,-1.401067222437092e-18,1.0190602092295075e-18,True
8408.271,-1.88845670150836e-18,9.462340545401368e-19,True
8427.247,-1.2772320954801995e-18,9.21713587115179e-19,True
8428.233,-7.289740184239034e-19,8.062924545612397e-19,False
8429.38,-2.402658959392253e-18,9.25939321429213e-19,True
8430.347,3.42392785804165e-19,8.054573234525017e-19,False
8431.485999999999,-8.4075621534479e-19,9.781675932794018e-19,False
8432.435,-1.2273126019101014e-18,9.06930531562458e-19,True
8451.393,6.234112645814732e-20,8.884972070002208e-19,False
8452.379,-2.045900799901352e-18,7.708946419094191e-19,True
8453.533000000001,-2.2299369547162968e-18,8.996185757347844e-19,True
8454.501,-6.634903549074488e-19,7.6449922355535e-19,False
8455.648000000001,-2.210891310195013e-18,9.316779406942907e-19,True
8456.599,-6.556906862438304e-19,8.813414661169976e-19,False
8474.752,2.608159223950365e-20,8.33980246773419e-19,False
8476.525,-1.1922307161038623e-18,7.329120738275794e-19,True
8477.687,-7.804711729314254e-19,8.685048240622654e-19,False
8478.655999999999,-7.0549039193699405e-19,7.346491933090987e-19,False
8479.811,-9.990513447933269e-19,9.302427306734186e-19,True
8480.761999999999,-2.393373208882896e-19,8.384757516470728e-19,False
8500.123,-3.9580815891089635e-20,8.914177167336368e-19,False
8500.671,-2.907741621848054e-18,7.350987042358015e-19,False
8501.84,-9.467697206435519e-20,8.393327959549101e-19,False
8502.811,-1.0293717026793913e-18,7.151754589336318e-19,True
8503.972,-2.495603086286625e-19,8.923673096445843e-19,False
8504.926,-4.2422333936546543e-19,8.053136004357143e-19,False
8523.827,1.4484511243093014e-19,8.011508996664116e-19,False
8524.817,-3.8748336914091856e-18,7.004513636884313e-19,False
8525.993,-5.254865094246941e-19,8.192084385418816e-19,False
8526.965,-1.5433082643874664e-18,6.906124464307342e-19,True
8528.007,-2.202796734286746e-18,7.865322756973793e-19,True
8528.134,-7.644846785768133e-19,8.505924352926179e-19,False
8547.972,-3.398739242388377e-19,7.906947597429553e-19,False
8548.964,-1.140936570951674e-18,6.826389229333372e-19,True
8550.146,-1.3881944013812492e-18,7.891726706072175e-19,True
8551.12,-5.280016130620843e-19,6.814283234914344e-19,False
8552.296,-5.616366429582657e-19,8.393423597353515e-19,False
8554.632,-1.5087396680100559e-18,7.644564924568812e-19,True
8572.117,-2.608741219969017e-18,7.458221928523924e-19,True
8573.109,3.0691580625544483e-19,6.739306666303421e-19,False
8574.3,3.8928811274656934e-19,7.933066055142111e-19,False
8575.274,2.3385694084496697e-19,6.650108052084234e-19,False
8576.458,-2.7791296336593313e-19,8.283001707573937e-19,False
8577.416,-7.286697556339957e-19,7.568045178328381e-19,False
8596.261999999999,-1.21421620270086e-18,7.280858296069017e-19,True
8597.256,5.9997896091028135e-19,6.749226953049521e-19,False
8598.453000000001,-3.295033462483137e-19,7.669334345132026e-19,False
8599.429,-1.4609875085970118e-18,6.463453559101454e-19,True
8600.62,-7.027044085957058e-19,8.079164863687515e-19,False
8601.58,-1.6331653212684659e-18,7.426574605210612e-19,True
8620.405999999999,8.797856988523094e-21,7.40049644649127e-19,False
8621.402,8.760381747146922e-19,6.750902788805817e-19,True
8622.606,-2.482554394164076e-18,7.49840404111437e-19,True
8623.584,-6.609516871517554e-19,6.4385146397614935e-19,True
8624.780999999999,3.586625566582341e-18,8.573679972111433e-19,False
8625.743,-1.7243867901330784e-18,7.357450781539162e-19,True
8644.552,-1.1911115145841926e-18,7.558448078009967e-19,True
8645.548,-5.909133599240152e-19,6.436867028534997e-19,False
8646.76,-1.32822720115476e-18,7.452133238125829e-19,True
8647.739,3.132442935288869e-19,6.524164062159072e-19,False
8648.943000000001,-2.5637224448040607e-19,7.9988210448162495e-19,False
8649.907,-1.1423879759006026e-18,7.189851065383681e-19,True
8668.696,-1.5855499742928196e-18,7.156122052949365e-19,True
8669.694,-2.5030404872184257e-18,6.181218631196893e-19,True
8670.913,-7.843762472315159e-20,7.274480645284687e-19,False
8671.894,1.4914183141887348e-19,6.306560224596139e-19,False
8673.105,-5.511848915615975e-19,7.615527633057768e-19,False
8674.07,-1.675192619466803e-18,6.914031586616067e-19,True
