LAMBDA,FLUX,FERROR,MASKGOOD
8003.7363,-5.597736255395689e-18,3.343698343922265e-18,True
8006.6577,4.9731533545679395e-18,2.6909767428881084e-18,True
8007.142,-8.481724963503487e-19,2.6303477686075227e-18,False
8008.5566,3.967848283872263e-18,2.6880285478590184e-18,True
8031.29,5.112995634331669e-18,2.571198751455962e-18,True
8031.593000000003,-2.536130176211426e-18,2.5645804850987508e-18,False
8031.7866,4.594085919371074e-19,2.4173030900220847e-18,False
8035.92,-6.180032259196776e-18,2.9355405416709204e-18,True
8055.211999999998,-1.6704497450407151e-18,2.964002069344688e-18,False
8055.8286,2.2376826010529758e-18,2.28649824899119e-18,False
8056.0435,5.625718987068667e-18,2.5085006248379408e-18,True
8056.53,2.0462458691891667e-18,2.4032405833494073e-18,False
8080.104,1.8845785395140898e-18,2.21940034537819e-18,False
8080.4946,3.509093161440167e-18,2.4138537720099e-18,True
8080.5283,2.5853874057305595e-18,2.375371181040668e-18,True
8081.581,3.970956700254447e-18,2.848761178566491e-18,True
8102.514,3.2645529120745363e-18,2.359440164170256e-18,True
8104.943,-1.7505436557532518e-18,2.097811884716577e-18,False
8104.9775,5.481383455762123e-18,2.3307777333369843e-18,True
8105.2019999999975,3.584648664391827e-18,2.721500391863586e-18,True
8129.17,1.6289083164157838e-18,2.0181585078483244e-18,False
8129.427,5.5131903987453364e-18,2.268590472594428e-18,True
8129.6553,5.0481616342484006e-18,2.6332689662299087e-18,True
8130.9565,-3.2791418767388876e-19,2.5765245608753407e-18,False
8153.0740000000005,2.3860154778395814e-18,2.2666093815921086e-18,True
8153.6169999999975,2.6581219048367718e-18,1.914923599671076e-18,True
8153.876,4.272726978387991e-18,2.179957843700859e-18,True
8154.1084,3.0607144785851748e-18,2.4887987759414297e-18,True
8178.0645,9.103351645734232e-18,1.903784163624215e-18,True
8178.325,1.6232064179305025e-19,2.137654585369678e-18,False
8178.561,6.1141014757482284e-18,2.390515617510606e-18,True
8178.757,5.117041774192253e-18,2.3274373194468987e-18,True
8202.511999999999,4.838307216977618e-18,1.7686617105996667e-18,True
8202.748,2.966301091486693e-18,2.129119519709653e-18,True
8202.774,2.6801628973417087e-18,2.112518261981018e-18,True
8203.015,4.643419073572338e-18,2.2882283256336266e-18,True
8226.91,6.788152778793026e-18,2.046119405575493e-18,True
8226.959,2.855244669049488e-18,1.6809546221030862e-18,True
8227.199,2.877718715210566e-18,2.078911741527081e-18,True
8227.466999999999,2.5006743400947797e-18,2.180377740457303e-18,True
8251.405999999999,3.991404032965042e-18,1.5933741785349258e-18,True
8251.649,3.593234805221953e-18,1.9888686175454158e-18,True
8251.92,1.885909213005581e-18,2.0281386857572413e-18,False
8252.205,5.375448244432984e-18,1.980397965678909e-18,True
8275.854,-3.715500342160773e-19,1.4904462170646858e-18,False
8276.101,3.995299553631226e-18,1.9080437082598758e-18,True
8276.122,-1.5349169994064867e-18,1.8752582245219216e-18,False
8276.373,2.4401728442584417e-18,1.9105662765174707e-18,True
8300.301,-5.47488954653106e-20,1.4438930502536275e-18,False
8300.552,3.4226578629148087e-18,1.842689906731924e-18,True
8300.571,2.08583040636219e-18,1.869454380057352e-18,True
8300.826,2.2809232425942518e-18,1.841864376090229e-18,True
8323.732,-1.9364501672069943e-18,1.2871783528607698e-18,True
8325.002,4.708775588549001e-18,1.8376210717594316e-18,True
8325.0205,1.477486594932369e-18,1.8239957195281728e-18,False
8325.279,2.939130411577546e-18,1.757828228748213e-18,True
8349.367,4.027521066194333e-18,1.7853523615999523e-18,True
8349.47,-1.5053684720901848e-18,1.7529973777325862e-18,False
8349.732,4.930642869086425e-18,1.715317859786884e-18,True
8350.37,-7.201567851389995e-19,1.3069196349492204e-18,False
8373.643,2.6765848294573108e-18,1.3031927242167203e-18,True
8373.919,-1.8486871321788557e-18,1.6999933990497364e-18,True
8373.947,6.8772565891587944e-18,1.7814977911810203e-18,True
8374.186,1.835563410416128e-18,1.6553846187687774e-18,True
