LAMBDA,FLUX,FERROR,MASKGOOD
8017.0293,2.1066165289021942e-18,1.209777391237709e-18,True
8017.994000000002,6.412461986489289e-19,1.1679270851310063e-18,False
8019.0137,-1.4627286424169952e-19,1.2274552700734254e-18,False
8019.956999999998,-1.311156937620314e-18,1.1817268826764403e-18,True
8021.4355,-1.311090823053263e-18,1.37497779883881e-18,False
8021.8906,-5.22452191403153e-18,1.3555276957717498e-18,False
8041.175999999998,-2.933337803674078e-19,1.1479348984374163e-18,False
8042.1416,-4.096715197401257e-19,1.0713252044159607e-18,False
8043.168000000002,5.258267511508347e-19,1.1807778914711215e-18,False
8044.113,-1.1217552379060428e-18,1.1122614866013909e-18,True
8044.2573,1.410699611558114e-18,1.246576586293463e-18,True
8046.055,-1.27645540654582e-18,1.276723900004273e-18,False
8065.321999999999,-5.4442906488313914e-18,1.1099218152438822e-18,False
8066.2890000000025,-7.211926744580605e-19,1.0276016619962722e-18,False
8067.3228,-2.3767922813765714e-18,1.1298669065897595e-18,True
8068.269,-1.081353753106765e-18,1.1094403749643371e-18,False
8069.772,-3.1324305961171378e-18,1.167948142494584e-18,True
8070.22,1.4698423540014639e-18,1.213492558263387e-18,True
8089.4683,-2.316712265733596e-19,1.0222352989152587e-18,False
8090.436,-1.0299063025625723e-18,9.927042910876018e-19,True
8091.4775,-2.2824564840258024e-18,1.0543586927312377e-18,True
8092.425,-2.96508465160949e-18,1.0451832170243364e-18,True
8092.558000000001,1.7145088418699735e-19,1.15411265748846e-18,False
8094.385,4.399309447660932e-19,1.1604844999754056e-18,False
8113.6143,-8.330373267183126e-19,9.745674209893807e-19,False
8114.5835,-3.1050409980403934e-21,9.537490678131304e-19,False
8115.632,-1.3140221865978079e-18,1.0078056270688595e-18,True
8116.5806,-1.80874852263894e-18,1.0045842693552179e-18,True
8118.1616,-1.6556033264541233e-19,1.1500701925685803e-18,False
8118.55,-1.685842270128591e-18,1.091275864264127e-18,True
8137.6396,-1.038171542087472e-18,9.518823051672469e-19,True
8137.643,-8.839965866134022e-19,8.675235927098763e-19,True
8139.7866,-5.221394106527745e-19,9.81135679682462e-19,False
8140.736999999999,-4.1037699991236755e-19,9.290052418082027e-19,False
8141.7827,-3.817953658984949e-19,1.0336920293445227e-18,False
8142.7144,-1.2601883653025694e-18,1.0509859888342011e-18,True
8161.985,-7.941642141337936e-19,9.842059371733036e-19,False
8163.9414,-7.340054824935769e-19,9.284071164691355e-19,False
8164.2109999999975,1.4174591653807127e-18,8.640500932014654e-19,True
8164.8926,-2.1928504636268946e-19,9.229358772752198e-19,False
8165.9463,-1.07693472447596e-18,9.799447637756629e-19,True
8166.8794,-1.1309057092269657e-18,1.0001738596591677e-18,True
